feature_id,log2_fold_change,average_expression,moderated_t,p_value,fdr_bh,B,direction_robust,log2_fold_change_leave_out_EC,log2_fold_change_leave_out_FC,log2_fold_change_leave_out_TC,entrez_id,mapping_status
2319135,-0.0913081153039474,4.69569478873239,-1.10394532943118,0.270901133849458,0.703160950136841,-5.21185245922905,True,-0.115763294663165,-0.0492249565663112,-0.108936094682365,765,unique_entrez_id
2319225,-0.0250106643651593,6.74012845070423,-0.2661244891528,0.790408765947725,0.937450830172801,-5.73101879175256,True,-0.0283086766584955,-0.0251236563759294,-0.0215996600610602,9563,unique_entrez_id
2319252,-0.0624470835591149,6.96403737089202,-0.640649606067382,0.522460397289222,0.826853307789262,-5.57708939588118,True,-0.0184671454867411,-0.127813305178297,-0.0410608000123052,80176,unique_entrez_id
2319340,0.0464091739927142,6.89174201877934,0.170033468287533,0.865150360440076,0.961710246131333,-5.75003423213266,True,0.0335742315614853,0.0123638732417213,0.0932894171749323,642740;84275,ambiguous_multiple_entrez
2319423,-0.102249916257985,6.79039920187793,-1.99685173130232,0.0471539031978032,0.480066865535082,-3.97244276403452,True,-0.0652446785955325,-0.10052102820887,-0.140984041969549,5293,unique_entrez_id
2319518,0.0135980265153419,5.0496576056338,0.153728031011244,0.87797425513309,0.966235301651894,-5.75242976610215,False,0.0442531202189747,-0.0180527727430375,0.0145937320700886,64802,unique_entrez_id
2319550,-0.197129852775026,5.75262643192488,-1.10019825775209,0.272527243305117,0.704086474347135,-5.21557594193794,True,-0.129346902109793,-0.320392051865445,-0.141650604349842,116362,unique_entrez_id
2319560,0.133399131820873,9.24760605633803,1.2734992620117,0.204272053838655,0.663205651790384,-5.03027999029882,True,0.167302905432921,0.0879473544648608,0.144947135564832,10277,unique_entrez_id
2319661,0.172138563494206,10.4298488732394,1.58586223448081,0.114300138314621,0.583265894220037,-4.62934122712003,True,0.195170164131664,0.127401054663038,0.193844471687928,23095,unique_entrez_id
2319802,-0.226924527830217,9.45748535211268,-2.56153728170401,0.0111337337449116,0.295380246703087,-2.83612662096417,True,-0.168218444000072,-0.30161822415265,-0.210936915337937,5226,unique_entrez_id
2319832,-0.0992319662035115,6.30690713615023,-1.59389426109625,0.112488608072662,0.581550946556386,-4.61790403780604,True,-0.0875438680464571,-0.11959568359284,-0.0905563469712387,100526739;1325;378708,ambiguous_multiple_entrez
2319881,-0.045930804050399,7.65691765258216,-0.704010748404,0.482218917299673,0.808234243783728,-5.53851598655631,True,-0.0484505892248297,-0.0538528388308732,-0.0354889840954939,5195,unique_entrez_id
2320048,0.153563854082522,8.56612821596244,1.10320828545978,0.271221186296696,0.703245321189372,-5.21258535072592,True,0.158123743707218,0.0886229949581754,0.213944823582182,23435;643387,ambiguous_multiple_entrez
2320051,-0.0831455857807502,9.88770953051643,-1.05191526720317,0.294067370939625,0.713168455459683,-5.26244625284931,True,-0.132380650023997,-0.0823603436435274,-0.0346957636747245,,unmapped_entrez
2320052,-0.108922789503338,7.15050535211268,-0.537529657306772,0.591480859674493,0.858812549299179,-5.63212463906948,True,-0.0202149839411456,-0.255481857640071,-0.0510715269288049,,unmapped_entrez
2320058,0.543296553095725,7.23940460093897,2.14548172344831,0.0330822088890141,0.43770844397577,-3.69928208134125,True,0.655964807837259,0.412820847372854,0.561104004077066,,unmapped_entrez
2320059,0.31322833828972,8.75578629107981,1.15518732528026,0.249349292585008,0.689612040865831,-5.15966886111849,True,0.341279584145056,0.0917873785788874,0.5066180521452,,unmapped_entrez
2320060,0.0724650204371784,9.80416530516432,0.676905376813862,0.499223286975566,0.816253437053869,-5.5554601499739,True,0.0464059978168123,0.0313618010177308,0.139627262476985,,unmapped_entrez
2320062,0.0783141734515596,9.6347138028169,0.684930961078697,0.494155350435219,0.814013876547643,-5.55051209285411,False,0.113991657799581,-0.0142460892578846,0.135196951812977,,unmapped_entrez
2320063,0.00351382931943256,7.59284,0.0131706602840854,0.989504359048164,0.996704212292199,-5.76307548560152,False,0.0472916533785002,-0.222735305976977,0.185985140556769,,unmapped_entrez
2320064,0.297129017874862,8.61480591549296,1.02863261474885,0.304856252813161,0.721146146884291,-5.28430376430442,True,0.139097823107376,0.169610076065791,0.582679154451421,,unmapped_entrez
2320065,-0.106373488914933,10.2980533333333,-0.990957260482947,0.322865770499532,0.731518304849189,-5.31865006792741,True,-0.0376422525339724,-0.148124460576206,-0.133353753634621,,unmapped_entrez
2320066,0.19730660885366,10.2946236150235,1.65481152945806,0.0994816464547834,0.566792977888121,-4.52933277370114,True,0.230473225856878,0.105262013464198,0.256184587239895,,unmapped_entrez
2320067,0.109817370821887,8.96917262910798,0.458999562313595,0.646717476430247,0.881130604309551,-5.66759353556459,False,0.143336320163359,-0.121683709257393,0.307799501559707,,unmapped_entrez
2320068,-0.113454577499031,11.7810788732394,-1.12425381236514,0.262210079650211,0.697631580222505,-5.19145043852069,True,-0.129875323760162,-0.0987091952819235,-0.111779213455002,,unmapped_entrez
2320069,0.0886410359947316,10.9016837558685,0.878805407974261,0.380527863677296,0.760392999522885,-5.4133763307442,True,0.0855376160156567,0.0462811808837333,0.134104311084805,,unmapped_entrez
2320070,0.328327801014142,10.4700364788732,2.67819327593918,0.00799782892347548,0.267439990975961,-2.56852245687153,True,0.365907079840785,0.329702442034085,0.289373881167549,,unmapped_entrez
2320071,0.671114435162762,8.37949319248826,2.08128586937152,0.0386413055842759,0.459042836077331,-3.81956536446708,True,0.734167744263463,0.394791803635945,0.884383757588877,,unmapped_entrez
2320075,0.109440223104704,8.43794215962441,0.665169880814023,0.506684411820887,0.819323434365968,-5.56259032370265,True,0.0872846881374887,0.0469307711680127,0.194105210008612,,unmapped_entrez
2320077,0.255565695411978,5.53533399061033,0.799158927838225,0.425116937299279,0.782007047397706,-5.47380121190834,False,0.267983221879101,-0.0504094178736469,0.549123282230486,,unmapped_entrez
2320078,0.386580605160496,7.47352295774648,1.27635232622155,0.20326527063049,0.663055756787449,-5.02700635607234,True,0.277207215401923,0.323246400334479,0.559288199745085,,unmapped_entrez
2320088,-0.0955850760670272,7.78261403755869,-0.657486762740698,0.511600518752256,0.821464296571331,-5.56719155413289,True,-0.033183680851292,-0.0548175484326849,-0.198753998917115,,unmapped_entrez
2320090,-0.212892848772856,7.76950629107981,-1.48860068712778,0.138118815284967,0.606334822213508,-4.76336555994572,True,-0.24852313234581,-0.106270594708873,-0.283884819263887,,unmapped_entrez
2320092,-0.0227477386509598,8.13105690140845,-0.15056205553635,0.880468231881452,0.966455369779972,-5.75286688305467,False,-0.113520449914962,0.125552391420451,-0.0802751574583782,,unmapped_entrez
2320094,0.304332744404209,4.73674352112676,1.41062229240866,0.159861354767116,0.628458938433188,-4.86483227780347,True,0.216910957070583,0.528860965622601,0.167226310519446,,unmapped_entrez
2320096,0.361603895948512,4.91420549295775,1.44757945782721,0.14925187613316,0.616531492755634,-4.81740842288815,True,0.285947296648154,0.451518188189531,0.347346203007851,,unmapped_entrez
2320098,-0.110598105129659,4.51905431924883,-0.486196286592687,0.627343800267764,0.874217522807704,-5.65594099870034,True,-0.218841205021262,-0.0710062502290176,-0.0419468601386956,,unmapped_entrez
2320100,0.000442232444323842,5.66951751173709,0.00293244612260832,0.9976630821266,0.999315577776452,-5.76315030794615,False,-0.00687832263018162,-0.076413014759968,0.0846180347231211,,unmapped_entrez
2320102,0.138253654264858,3.03738699530516,0.493270022879489,0.622346217606392,0.871711430705187,-5.65280061414288,False,0.262724373708989,-0.0865104517422446,0.238547040827828,,unmapped_entrez
2320104,0.0739518171707374,9.03252464788732,0.756811544127574,0.450025077934554,0.792660426972653,-5.50360970818492,False,-0.0116591513242952,0.136748413463389,0.0967661893731186,,unmapped_entrez
2320106,-0.0561605144760282,7.78572295774648,-0.5601552085776,0.575980528297773,0.852900355948116,-5.62087181730131,True,-0.148228741656112,-0.0118859263083761,-0.00836687546359105,,unmapped_entrez
2320108,0.146051283165759,10.9776023474178,1.79843379245528,0.0735682348156224,0.527836488532268,-4.30776505367027,True,0.130285969546767,0.162435616947294,0.145432263003208,,unmapped_entrez
2320110,0.0744637842963281,5.94810704225352,0.344549130281883,0.730784160686749,0.915758195615005,-5.70929462274302,True,0.0270148092917442,0.0790687643345303,0.117307779262715,,unmapped_entrez
