population,outcome,tau_suvr,spline_mean,spline_ci95_lower,spline_ci95_upper,linear_mean,linear_ci95_lower,linear_ci95_upper,interpretation
all_eligible,hippocampus_icv,1.1112,0.005216085624008817,0.005064792486269373,0.005367378761748262,0.0050886504112236264,0.004984321685694724,0.005192979136752529,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.11768,0.5242291142701587,0.2245006926654985,0.823957535874819,0.6579407584594241,0.3970480821606567,0.9188334347581916,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.1301100000000002,0.5647881236153438,0.2923285759010751,0.8372476713296125,0.7014130851963554,0.4464247857000706,0.9564013846926401,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.1425400000000001,0.6059452346352057,0.35625040419132037,0.855640065079091,0.7448854119332848,0.49558584037311804,0.9941849834934516,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.15497,0.6477538899565571,0.41574499833878387,0.8797627815743304,0.7883577386702143,0.5445161527039131,1.0321993246365155,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.1674,0.6902675322062137,0.47048717356227565,0.9100478908501518,0.8318300654071447,0.593199889445592,1.0704602413686972,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.1798300000000002,0.73353960401099,0.5205085542341481,0.946570653787832,0.875302392144075,0.6416205531434277,1.1089842311447224,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.19226,0.7776235479977016,0.5662927922209021,0.9889543037745011,0.9187747188810054,0.689761090368616,1.1477883473933947,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.20469,0.8225728067931604,0.6087312723324636,1.0364143412538571,0.9622470456179348,0.7376040368762887,1.1868900543595808,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.21712,0.8684408230241845,0.6489550136149731,1.0879266324333958,1.0057193723548652,0.7851317029918903,1.22630704171784,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
all_eligible,cdrsb,1.2295500000000001,0.9152810393175885,0.6881375487203992,1.142424529914778,1.0491916990917955,0.8323264009459616,1.2660569972376297,adjusted mean at covariate means; pointwise CI; 5th-95th tau percentiles
