population,outcome,tau_suvr,reference_tau,full_mean,full_mean_ci95_lower,full_mean_ci95_upper,full_contrast_to_reference,full_contrast_to_reference_ci95_lower,full_contrast_to_reference_ci95_upper,retained_mean,retained_mean_ci95_lower,retained_mean_ci95_upper,retained_contrast_to_reference,retained_contrast_to_reference_ci95_lower,retained_contrast_to_reference_ci95_upper,retained_minus_full_mean,retained_minus_full_shape
all_eligible,hippocampus_icv,1.5083369999999998,1.341,0.004658141365306498,0.004543215844174416,0.00477306688643858,-0.00022082829817814405,-0.0003291681882876357,-0.0001124884080686524,0.004690812483455551,0.00458313919645819,0.0047984857704529114,-0.00018903841715820334,-0.00029197816026773287,-8.60986740486738e-05,3.267111814905278e-05,3.178988101994071e-05
all_eligible,hippocampus_icv,1.5185199999999999,1.341,0.004646330119063721,0.0045289678791225136,0.004763692359004929,-0.00023263954442092065,-0.00034715992850087784,-0.00011811916034096343,0.004680671166612957,0.004570618051711599,0.004790724281514315,-0.00019917973400079692,-0.00030783677852578244,-9.052268947581142e-05,3.4341047549235615e-05,3.345981042012373e-05
all_eligible,hippocampus_icv,1.528703,1.341,0.004634736166405224,0.004514800379439592,0.0047546719533708565,-0.0002442334970794174,-0.0003647203919147021,-0.0001237466022441327,0.004670678920761392,0.004558154819735365,0.004783203021787419,-0.0002091719798523621,-0.0003233226633646299,-9.502129634009433e-05,3.5942754356167554e-05,3.506151722705529e-05
all_eligible,hippocampus_icv,1.5388859999999998,1.341,0.0046233576672167695,0.004500750461524252,0.004745964872909287,-0.0002556119962678719,-0.0003818529531305647,-0.00012937103940517905,0.004660834483518195,0.0045457847555722165,0.004775884211464174,-0.00021901641709555936,-0.00033843903934832717,-9.959379484279157e-05,3.747681630142559e-05,3.659557917231254e-05
all_eligible,hippocampus_icv,1.5490689999999998,1.341,0.004612192781384119,0.0044868505641436855,0.004737534998624553,-0.0002667768821005224,-0.00039856126387670084,-0.00013499250032434392,0.004651136592500705,0.004533538189751485,0.004768734995249925,-0.00022871430811304954,-0.000353189410305013,-0.0001042392059210861,3.894381111658584e-05,3.806257398747284e-05
all_eligible,hippocampus_icv,1.5592519999999999,1.341,0.004601239668793035,0.0044731287503863995,0.00472935058719967,-0.00027772999469160686,-0.000414849188662987,-0.00014061080072022672,0.004641583985326261,0.004521440980664456,0.004761726989988066,-0.0002382669152874932,-0.00036757750030121003,-0.00010895633027377638,4.034431653322616e-05,3.9463079404113653e-05
all_eligible,hippocampus_icv,1.569435,1.341,0.00459049648932928,0.004459609084151423,0.004721383894507137,-0.0002884731741553627,-0.0004307207605212562,-0.00014622558778946913,0.004632175399612203,0.004509514995389102,0.0047548358038353045,-0.0002476755010015506,-0.00038160721360617274,-0.0001137437883969285,4.1678910282923545e-05,4.0797673153812066e-05
all_eligible,hippocampus_icv,1.579618,1.341,0.004579961402878613,0.004446312034731992,0.004713610771025234,-0.0002990082606060281,-0.0004461801501173695,-0.0001518363710946867,0.004622909572975871,0.004497778581672891,0.004748040564278851,-0.00025694132763788254,-0.00039528260733740677,-0.00011860004793835829,4.2948170097258445e-05,4.2066932968145556e-05
all_eligible,hippocampus_icv,1.5898009999999998,1.341,0.0045696325693268015,0.004433254878727332,0.004706010259926271,-0.0003093370941578404,-0.00046123164398222246,-0.00015744254433345834,0.004613785243034605,0.004486247009275639,0.004741323476793571,-0.0002660656575791491,-0.00040860787279648294,-0.0001235234423618153,4.4152673707803514e-05,4.3271436578691275e-05
all_eligible,hippocampus_icv,1.5999839999999999,1.341,0.004559508148559604,0.0044204520805236494,0.004698564216595559,-0.00031946151492503793,-0.00047587962910147796,-0.00016304340074859794,0.0046048011474057425,0.004474932869658184,0.004734669425153301,-0.00027504975320801134,-0.00042158732290958033,-0.00012851218350644233,4.529299884613834e-05,4.441176171702659e-05
all_eligible,hippocampus_icv,1.610167,1.341,0.004549586300462783,0.004407915641180542,0.0046912569597450235,-0.0003293833630218586,-0.0004901285820333657,-0.00016863814401035153,0.004595956023706624,0.004463846430045498,0.004728065617367751,-0.0002838948769071296,-0.0004342253840620997,-0.00013356436975215952,4.636972324384165e-05,4.548848611472898e-05
all_eligible,hippocampus_icv,1.6203499999999997,1.341,0.0045398651849221025,0.004395655411363033,0.004684074958481172,-0.0003391044785625397,-0.000503983061316778,-0.00017422589580830147,0.00458724860955459,0.004452995942197374,0.004721501276911806,-0.0002926022910591642,-0.0004465265911745884,-0.0001386779909437401,4.7383424632487826e-05,4.650218750337548e-05
all_eligible,hippocampus_icv,1.6305329999999998,1.341,0.004530342961823321,0.00438367936765783,0.004677006555988812,-0.00034862670166131986,-0.000517447702318244,-0.00017980570100439565,0.0045786776425669785,0.004442387908637474,0.004714967376496483,-0.0003011732580467763,-0.00045849558523073167,-0.00014385093086282093,4.833468074365733e-05,4.745344361454357e-05
all_eligible,hippocampus_icv,1.6407159999999998,1.341,0.004521017791052205,0.004371993853811839,0.004670041728292571,-0.0003579518724324362,-0.0005305272139231304,-0.00018537653094174197,0.004570241860361129,0.004432027310273109,0.004708456410449148,-0.00030960904025262575,-0.0004701371127097053,-0.00014908096779554618,4.9224069308923674e-05,4.834283217981046e-05
all_eligible,hippocampus_icv,1.650899,1.341,0.004511887832494515,0.004360603789613022,0.0046631718753760085,-0.000367081830990127,-0.0005432263766501445,-0.0001909372853301094,0.00456194000055438,0.00442191779974942,0.004701962201359339,-0.00031791090005937346,-0.00048145602653854936,-0.00015436577358019757,5.005216805986472e-05,4.917093093075351e-05
all_eligible,hippocampus_icv,1.661082,1.341,0.004502951246036012,0.004349512850655381,0.004656389641416642,-0.00037601841744863,-0.0005555500418876655,-0.0001964867930095946,0.0045537708007640735,0.004412061864839694,0.004695479736688453,-0.0003260800998496798,-0.0004924572882924361,-0.00015970291140692352,5.081955472806179e-05,4.99383175989502e-05
