"feature_id","entrez_id","mapping_status"
"2358855","57592","unique_entrez_id"
"2358906","5692","unique_entrez_id"
"2358949","57530","unique_entrez_id"
"2358993","7286","unique_entrez_id"
"2359036","81609","unique_entrez_id"
"2359113","51686","unique_entrez_id"
"2359282","254910","unique_entrez_id"
"2359302","54544","unique_entrez_id"
"2359322","353144","unique_entrez_id"
"2359329","353143","unique_entrez_id"
"2359352","353141","unique_entrez_id"
"2359360","26239","unique_entrez_id"
"2359377","353139","unique_entrez_id"
"2359386","199834","unique_entrez_id"
"2359431","353137","unique_entrez_id"
"2359433","353135","unique_entrez_id"
