"go_id","NGenes","full_direction","full_p_value","full_fdr","direction_leave_out_EC","direction_leave_out_FC","direction_leave_out_TC","directionally_stable"
"GO:0006281",201,"Up",0.418474269306828,0.784639254950303,"Up","Down","Up",FALSE
"GO:0000244",15,"Down",0.428066700532591,0.786142721669503,"Down","Down","Down",FALSE
"GO:0001701",175,"Up",0.421133745198003,0.786142721669503,"Up","Up","Up",FALSE
"GO:0002437",18,"Down",0.421256234527056,0.786142721669503,"Down","Down","Down",FALSE
"GO:0003203",18,"Up",0.422868491373877,0.786142721669503,"Up","Up","Up",FALSE
"GO:0006891",19,"Up",0.428453958624171,0.786142721669503,"Up","Down","Up",FALSE
"GO:0010043",22,"Up",0.42093057223155,0.786142721669503,"Up","Up","Up",FALSE
"GO:0016241",49,"Down",0.42331353078502,0.786142721669503,"Down","Down","Down",FALSE
"GO:0017157",20,"Down",0.425182599389622,0.786142721669503,"Down","Down","Down",FALSE
"GO:0031929",15,"Down",0.426365778419955,0.786142721669503,"Down","Down","Down",FALSE
"GO:0034067",17,"Down",0.427213596334959,0.786142721669503,"Down","Down","Down",FALSE
"GO:0034375",15,"Down",0.429423971993575,0.786142721669503,"Down","Down","Down",FALSE
"GO:0034614",37,"Up",0.42224293268253,0.786142721669503,"Up","Up","Up",FALSE
"GO:0035036",10,"Down",0.42979705006609,0.786142721669503,"Down","Up","Down",FALSE
"GO:0038061",18,"Down",0.428626156276028,0.786142721669503,"Down","Down","Down",FALSE
"GO:0038084",14,"Down",0.424048519128817,0.786142721669503,"Down","Down","Down",FALSE
"GO:0042759",12,"Up",0.429952130493321,0.786142721669503,"Up","Up","Up",FALSE
"GO:0042908",21,"Up",0.42484840252907,0.786142721669503,"Up","Up","Up",FALSE
"GO:0048015",17,"Up",0.422061624867079,0.786142721669503,"Up","Up","Up",FALSE
"GO:0048260",20,"Up",0.429714355137244,0.786142721669503,"Up","Up","Up",FALSE
"GO:0048708",15,"Up",0.429011158475167,0.786142721669503,"Up","Up","Up",FALSE
"GO:0050850",30,"Down",0.426674861944885,0.786142721669503,"Down","Up","Down",FALSE
"GO:0051016",18,"Down",0.42746327315052,0.786142721669503,"Down","Down","Down",FALSE
"GO:0051168",10,"Up",0.422748479124612,0.786142721669503,"Up","Up","Up",FALSE
"GO:0055085",163,"Up",0.425629591183285,0.786142721669503,"Up","Up","Up",FALSE
"GO:0060021",57,"Up",0.429192815496474,0.786142721669503,"Up","Up","Up",FALSE
"GO:0061053",13,"Up",0.42069290516634,0.786142721669503,"Up","Up","Up",FALSE
"GO:0070213",10,"Up",0.426536488089273,0.786142721669503,"Up","Up","Up",FALSE
"GO:0090181",13,"Down",0.425677823419483,0.786142721669503,"Down","Down","Down",FALSE
"GO:0090190",16,"Up",0.425591500868368,0.786142721669503,"Up","Up","Up",FALSE
"GO:0098742",15,"Down",0.423583502319096,0.786142721669503,"Down","Down","Down",FALSE
"GO:0099022",11,"Down",0.428850194413139,0.786142721669503,"Up","Down","Down",FALSE
"GO:0099175",23,"Up",0.427834369857275,0.786142721669503,"Up","Up","Up",FALSE
"GO:1990000",23,"Down",0.429388788238464,0.786142721669503,"Down","Down","Down",FALSE
"GO:0002467",10,"Down",0.430817231302475,0.787132234635349,"Down","Down","Down",FALSE
